1,1,1700,391,156,337,0.91455,-1,-1,-1
1,2,250,456,107,248,0.883148,-1,-1,-1
1,3,1255,539,60,118,0.826354,-1,-1,-1
1,4,1288,459,73,199,0.745969,-1,-1,-1
1,5,120,504,93,239,0.740778,-1,-1,-1
1,6,0,243,110,666,0.655897,-1,-1,-1
1,7,1885,369,35,213,0.489681,-1,-1,-1
2,1,1689,390,163,338,0.900352,-1,-1,-1
2,2,262,456,96,250,0.875928,-1,-1,-1
2,3,1257,538,59,120,0.823182,-1,-1,-1
2,4,0,247,114,662,0.745286,-1,-1,-1
2,5,1291,461,71,197,0.732246,-1,-1,-1
2,6,119,503,83,240,0.72437,-1,-1,-1
2,7,1884,370,35,208,0.512531,-1,-1,-1
3,1,1686,389,163,340,0.908388,-1,-1,-1
3,2,262,456,97,251,0.874236,-1,-1,-1
3,3,0,282,119,626,0.811071,-1,-1,-1
3,4,1260,538,56,120,0.781718,-1,-1,-1
3,5,116,503,87,240,0.746885,-1,-1,-1
3,6,1294,460,68,198,0.735964,-1,-1,-1
3,7,1882,368,37,206,0.612416,-1,-1,-1
4,1,1684,390,162,341,0.894863,-1,-1,-1
4,2,262,456,97,251,0.873194,-1,-1,-1
4,3,0,257,125,652,0.847215,-1,-1,-1
4,4,117,503,89,241,0.771795,-1,-1,-1
4,5,1263,539,54,121,0.753537,-1,-1,-1
4,6,1296,460,67,199,0.748201,-1,-1,-1
4,7,1880,358,39,219,0.585821,-1,-1,-1
5,1,1686,389,159,344,0.909074,-1,-1,-1
5,2,0,242,137,667,0.890312,-1,-1,-1
5,3,262,456,97,250,0.862469,-1,-1,-1
5,4,121,504,85,241,0.786934,-1,-1,-1
5,5,1298,459,68,199,0.759677,-1,-1,-1
5,6,1268,541,49,117,0.759562,-1,-1,-1
5,7,1879,351,40,225,0.64103,-1,-1,-1
6,1,0,238,138,671,0.909236,-1,-1,-1
6,2,1687,390,151,346,0.901745,-1,-1,-1
6,3,264,457,95,249,0.869982,-1,-1,-1
6,4,123,505,82,240,0.831403,-1,-1,-1
6,5,1299,458,69,200,0.765524,-1,-1,-1
6,6,1272,540,43,118,0.742333,-1,-1,-1
6,7,1877,348,42,232,0.604589,-1,-1,-1
7,1,0,232,148,676,0.915115,-1,-1,-1
7,2,1688,390,148,348,0.907819,-1,-1,-1
7,3,267,456,92,249,0.863895,-1,-1,-1
7,4,122,509,81,236,0.796358,-1,-1,-1
7,5,1301,458,68,200,0.756306,-1,-1,-1
7,6,1276,539,39,119,0.716393,-1,-1,-1
7,7,1874,346,46,234,0.709408,-1,-1,-1
8,1,0,228,160,681,0.915229,-1,-1,-1
8,2,1690,391,146,349,0.902101,-1,-1,-1
8,3,269,456,90,248,0.864115,-1,-1,-1
8,4,122,508,76,236,0.796278,-1,-1,-1
8,5,1301,458,71,201,0.778788,-1,-1,-1
8,6,1873,349,47,237,0.730986,-1,-1,-1
8,7,1277,539,38,117,0.660544,-1,-1,-1
9,1,0,229,164,678,0.919402,-1,-1,-1
9,2,1689,391,148,350,0.893777,-1,-1,-1
9,3,271,456,88,248,0.848771,-1,-1,-1
9,4,122,506,76,238,0.784271,-1,-1,-1
9,5,1306,458,67,202,0.739,-1,-1,-1
9,6,1872,348,48,246,0.681004,-1,-1,-1
9,7,1280,539,41,119,0.679955,-1,-1,-1
10,1,0,230,172,678,0.927613,-1,-1,-1
10,2,1683,390,158,352,0.88832,-1,-1,-1
10,3,273,455,86,245,0.820743,-1,-1,-1
10,4,123,504,70,240,0.764692,-1,-1,-1
10,5,1282,539,41,120,0.712172,-1,-1,-1
10,6,1307,459,79,201,0.679151,-1,-1,-1
10,7,1869,339,51,331,0.591268,-1,-1,-1
